year,variable,raw_column,rows,missing_pct,answers
2018,race,_IMPRACE,437436,0.0,White: 75.4%; Hispanic: 8.5%; Black: 8.3%; Other: 3.3%; Asian: 2.5%; American Indian/Alaska Native: 2.0%
2018,gen_health,GENHLTH,437436,0.3,Very good: 32.6%; Good: 31.7%; Excellent: 16.5%; Fair: 13.9%; Poor: 5.3%
2018,phys_days,PHYSHLTH,437436,2.0,"median 0.0, min 0.0, max 30.0"
2018,ment_days,MENTHLTH,437436,1.6,"median 0.0, min 0.0, max 30.0"
2018,diff_walking,DIFFWALK,437436,3.0,No: 83.1%; Yes: 16.9%
2018,asthma,ASTHMA3,437436,0.3,No: 85.8%; Yes: 14.2%
2018,kidney_disease,CHCKDNY1,437436,0.4,No: 96.2%; Yes: 3.8%
2018,copd,CHCCOPD1,437436,0.5,No: 91.4%; Yes: 8.6%
2018,depression,ADDEPEV2,437436,0.5,No: 81.2%; Yes: 18.8%
2018,arthritis,HAVARTH3,437436,0.6,No: 65.6%; Yes: 34.4%
2018,income,INCOME2,437436,17.4,75k+: 34.0%; 50-75k: 16.1%; 35-50k: 13.7%; 25-35k: 10.5%; 20-25k: 8.9%; 15-20k: 7.2%; 10-15k: 5.0%; <10k: 4.6%
2018,education,EDUCA,437436,0.4,College graduate: 37.7%; Some college: 27.5%; High school: 27.3%; Less than high school: 7.5%
2018,last_checkup,CHECKUP1,437436,1.3,Within 1 year: 80.4%; 1-2 years: 9.6%; 2-5 years: 4.9%; 5+ years: 4.6%; Never: 0.5%
2018,cost_barrier,MEDCOST,437436,0.5,No: 89.7%; Yes: 10.3%
2018,heart_disease,derived,437436,0.9,No: 90.7%; Yes: 9.3%
2019,state,_STATE,418268,0.0,
2019,weight,_LLCPWT,418268,0.0,
2019,heart_attack,CVDINFR4,418268,0.6,No: 94.1%; Yes: 5.9%
2019,coronary_heart_disease,CVDCRHD4,418268,1.0,No: 94.3%; Yes: 5.7%
2019,stroke,CVDSTRK3,418268,0.3,No: 95.5%; Yes: 4.5%
2019,high_blood_pressure,BPHIGH4,418268,0.4,No: 57.6%; Yes: 40.7%; Borderline: 1.0%; Pregnancy only: 0.7%
2019,high_cholesterol,TOLDHI2,418268,1.2,No: 59.3%; Yes: 34.9%; Never checked: 5.8%
2019,diabetes,DIABETE4,418268,0.2,No: 83.2%; Yes: 13.8%; Borderline: 2.2%; Pregnancy only: 0.9%
2019,smoked_100,SMOKE100,418268,4.4,No: 57.8%; Yes: 42.2%
2019,heavy_drinker,_RFDRHV7,418268,6.6,No: 94.0%; Yes: 6.0%
2019,exercise,EXERANY2,418268,5.3,Yes: 72.8%; No: 27.2%
2019,bmi,_BMI5,418268,8.7,"median 27.3, min 12.0, max 99.8"
2019,sleep_hours,not asked,418268,100.0,
2019,age_group,_AGEG5YR,418268,1.6,65-69: 11.0%; 60-64: 10.8%; 70-74: 10.1%; 55-59: 9.5%; 80 or older: 8.7%; 50-54: 7.7%; 75-79: 7.2%; 45-49: 6.3%; 18-24: 6.1%; 35-39: 6.0%; 40-44: 5.9%; 30-34: 5.6%; 25-29: 5.1%
2019,sex,SEXVAR,418268,0.0,Female: 54.6%; Male: 45.4%
2019,race,_IMPRACE,418268,0.0,White: 76.2%; Hispanic: 9.0%; Black: 7.6%; Other: 3.4%; Asian: 2.2%; American Indian/Alaska Native: 1.6%
2019,gen_health,GENHLTH,418268,0.3,Very good: 32.6%; Good: 32.0%; Excellent: 15.8%; Fair: 14.3%; Poor: 5.3%
2019,phys_days,PHYSHLTH,418268,2.5,"median 0.0, min 0.0, max 30.0"
2019,ment_days,MENTHLTH,418268,2.1,"median 0.0, min 0.0, max 30.0"
2019,diff_walking,DIFFWALK,418268,3.7,No: 82.2%; Yes: 17.8%
2019,asthma,ASTHMA3,418268,0.4,No: 85.9%; Yes: 14.1%
2019,kidney_disease,CHCKDNY2,418268,0.4,No: 96.1%; Yes: 3.9%
2019,copd,CHCCOPD2,418268,0.5,No: 91.5%; Yes: 8.5%
2019,depression,ADDEPEV3,418268,0.5,No: 81.0%; Yes: 19.0%
2019,arthritis,HAVARTH4,418268,0.6,No: 66.4%; Yes: 33.6%
2019,income,INCOME2,418268,19.1,75k+: 34.8%; 50-75k: 16.0%; 35-50k: 13.8%; 25-35k: 10.2%; 20-25k: 8.9%; 15-20k: 6.9%; 10-15k: 4.8%; <10k: 4.7%
2019,education,EDUCA,418268,0.4,College graduate: 37.9%; Some college: 28.0%; High school: 26.9%; Less than high school: 7.2%
2019,last_checkup,CHECKUP1,418268,1.2,Within 1 year: 80.7%; 1-2 years: 9.3%; 2-5 years: 4.9%; 5+ years: 4.5%; Never: 0.6%
2019,cost_barrier,MEDCOST,418268,0.3,No: 89.4%; Yes: 10.6%
